"1 Country","2 Birth rate, crude (per 1,000 people)","3 GDP per capita (current US$)","4 Health expenditure per capita (current US$)","5 Improved sanitation facilities (% of population with access)","6 Improved water source (% of population with access)","7 Internet users (per 100 people)","8 Labor participation rate, female (% of female population ages 15+)","9 Life expectancy at birth, total (years)","10 Literacy rate, adult total (% of people ages 15 and above)","11 Mobile cellular subscriptions (per 100 people)","12 Mortality rate, infant (per 1,000 live births)","13 Physicians (per 1,000 people)","14 Rural population (% of total population)","15 Strength of legal rights index (0=weak to 10=strong)","16 Telephone lines (per 100 people)","17 Ex-colony"
Ukraine,10.8,2974.0,234.4,94.0,98.0,23.1,53.0,70.3,99.7,118.6,9.2,3.2,31.3,9.0,28.5,0
U Arab Emir,13.1,39624.7,1449.9,98.0,100.0,68.0,43.7,76.6,78.0,145.5,6.0,1.9,16.0,4.0,19.7,1
United Kingdom,13.0,36256.0,3502.8,100.0,100.0,77.8,55.5,80.4,99.0,130.8,4.5,2.7,20.5,10.0,53.9,0
United States,14.0,46612.0,8361.7,100.0,99.0,74.2,57.5,78.2,99.0,89.9,6.5,2.4,17.9,9.0,48.7,1
Uruguay,14.4,11741.7,998.3,100.0,100.0,46.6,55.4,76.2,98.1,131.7,9.1,3.7,7.5,4.0,28.6,1
Uzbekistan,23.3,1377.1,82.4,100.0,87.0,19.2,47.6,68.0,99.4,76.3,42.3,2.6,63.8,2.0,6.9,0
Vanuatu,29.5,2833.3,157.3,57.0,90.0,8.0,61.3,70.8,82.6,119.0,11.8,0.1,75.4,9.0,2.1,1
Venezuela,20.6,13657.7,663.4,?.0,?.0,37.6,51.6,74.1,93.0,96.2,13.4,?.0,6.7,1.0,24.4,1
Vietnam,16.7,1224.3,82.9,76.0,95.0,31.0,73.1,74.8,93.2,127.0,18.1,1.2,69.6,8.0,16.4,1
Yemen,38.1,1290.6,63.2,53.0,55.0,12.4,24.8,65.0,63.9,46.1,58.3,0.3,68.3,2.0,4.3,1
Zambia,45.6,1252.5,72.9,48.0,61.0,10.1,73.3,48.5,71.2,41.6,55.9,0.1,61.3,9.0,0.9,1
Zimbabwe,29.2,591.3,?.0,40.0,80.0,11.5,82.9,49.9,92.2,61.2,45.1,?.0,61.9,7.0,3.0,1
